timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1753271471.3822994,-0.005,-0.019,1.032,-2.785,1.923,-0.32,-514.742,96.049,18.038
1753271471.5067708,-0.004,-0.02,1.03,-2.686,1.93,-0.214,-511.473,95.686,21.54
1753271471.6486464,-0.007,-0.02,1.03,-2.647,1.907,-0.313,-513.652,96.775,21.54
1753271471.8094347,-0.006,-0.02,1.032,-2.663,1.938,-0.298,-512.744,99.499,21.015
1753271471.9911563,-0.005,-0.02,1.031,-2.739,1.991,-0.267,-511.655,98.409,20.665
1753271472.1603692,-0.005,-0.022,1.027,-2.739,1.953,-0.168,-515.105,97.138,20.84
1753271472.3652751,-0.005,-0.021,1.03,-2.739,1.923,-0.298,-512.563,96.412,21.19
1753271472.5827656,-0.006,-0.021,1.033,-2.716,1.907,-0.282,-516.557,96.412,19.789
1753271472.7138617,-0.004,-0.021,1.031,-2.754,1.976,-0.328,-513.652,96.412,20.49
1753271472.8418875,-0.006,-0.019,1.032,-2.647,1.915,-0.267,-512.563,96.412,21.891
1753271472.9622128,-0.007,-0.02,1.029,-2.754,2.037,-0.282,-512.744,95.867,20.665
1753271473.086234,-0.006,-0.022,1.028,-2.792,1.892,-0.298,-512.2,95.686,23.291
1753271473.203593,-0.005,-0.023,1.029,-2.716,1.999,-0.298,0,0,0
1753271473.3214786,-0.007,-0.02,1.026,-2.724,2.014,-0.336,-515.286,96.593,23.116
1753271473.4407086,-0.007,-0.021,1.03,-2.731,1.9,-0.328,-512.381,97.32,22.066
1753271473.5961514,-0.005,-0.021,1.034,-2.724,1.816,-0.328,-512.926,96.049,22.941
1753271473.7657375,-0.006,-0.019,1.029,-2.708,1.968,-0.381,-514.015,95.686,21.891
1753271473.8858428,-0.007,-0.019,1.03,-2.686,1.869,-0.313,-512.2,96.049,22.241
1753271474.0026703,-0.006,-0.021,1.032,-2.708,1.968,-0.32,-514.197,96.23,21.365
1753271474.1252904,-0.006,-0.019,1.026,-2.731,1.968,-0.404,-513.107,97.32,22.066
1753271474.2434578,-0.007,-0.022,1.031,-2.754,1.923,-0.305,-513.652,96.412,20.84
1753271474.3639352,-0.007,-0.021,1.03,-2.754,1.976,-0.29,-512.744,94.415,20.665
1753271474.4920194,-0.005,-0.021,1.031,-2.747,2.037,-0.313,-513.834,96.593,22.416
