frame_idx,t_capture_ms,t_vo_ms,t_gt_ms,t_control_show_ms,t_total_ms,fps
"[143, 1.295328140258789, 58.678627014160156, 1.9266605377197266, 2.460002899169922, 64.3606185913086, 15.53745165735623]"
"[144, 1.1417865753173828, 59.96561050415039, 1.947641372680664, 2.4785995483398438, 65.53363800048828, 15.259339028188077]"
"[145, 1.0628700256347656, 58.01272392272949, 1.941680908203125, 2.481698989868164, 63.49897384643555, 15.748285986768494]"
"[146, 1.1429786682128906, 57.35182762145996, 1.9216537475585938, 2.4967193603515625, 62.91317939758301, 15.894920739587004]"
"[147, 1.3091564178466797, 61.01632118225098, 1.9450187683105469, 2.4878978729248047, 66.75839424133301, 14.979389653756183]"
"[148, 1.2004375457763672, 57.65843391418457, 1.9125938415527344, 2.495288848876953, 63.266754150390625, 15.806089840217064]"
"[149, 1.360177993774414, 55.11736869812012, 1.934051513671875, 2.6187896728515625, 61.03038787841797, 16.38528010000781]"
"[150, 1.2257099151611328, 60.10746955871582, 1.9445419311523438, 2.4890899658203125, 65.76681137084961, 15.205237705096321]"
"[151, 1.0573863983154297, 56.72764778137207, 1.9402503967285156, 2.523660659790039, 62.248945236206055, 16.06452922544247]"
"[152, 1.2192726135253906, 57.79862403869629, 2.144336700439453, 2.482891082763672, 63.645124435424805, 15.712122631084073]"
"[153, 1.2743473052978516, 57.11102485656738, 1.931905746459961, 2.4890899658203125, 62.80636787414551, 15.921952404632748]"
"[154, 1.0976791381835938, 60.402870178222656, 1.9261837005615234, 2.483844757080078, 65.91057777404785, 15.172071521329432]"
"[155, 1.0900497436523438, 62.48593330383301, 1.9345283508300781, 2.501249313354492, 68.01176071166992, 14.703339386248432]"
"[156, 1.3070106506347656, 62.0114803314209, 1.934051513671875, 2.4945735931396484, 67.74711608886719, 14.760775922745573]"
"[157, 1.2183189392089844, 59.446096420288086, 1.928567886352539, 2.488851547241211, 65.08183479309082, 15.365270557894004]"
"[158, 1.2569427490234375, 59.07940864562988, 1.917123794555664, 2.916097640991211, 65.1695728302002, 15.344584237271393]"
"[159, 0.9796619415283203, 64.01538848876953, 1.924753189086914, 2.480745315551758, 69.40054893493652, 14.4091079299316]"
"[160, 1.1985301971435547, 58.441162109375, 1.9254684448242188, 2.5103092193603516, 64.07546997070312, 15.60659641602667]"
"[161, 1.3501644134521484, 59.58437919616699, 1.9235610961914062, 2.4955272674560547, 65.3536319732666, 15.30136841375637]"
"[162, 1.0051727294921875, 60.51349639892578, 1.9536018371582031, 2.505779266357422, 65.9780502319336, 15.156555801280662]"
"[163, 1.1279582977294922, 58.15720558166504, 1.9364356994628906, 2.4933815002441406, 63.71498107910156, 15.694895973656639]"
"[164, 1.2335777282714844, 57.860612869262695, 1.93023681640625, 2.5398731231689453, 63.564300537109375, 15.732101062233692]"
"[165, 1.268148422241211, 58.983564376831055, 1.9524097442626953, 2.4924278259277344, 64.6965503692627, 15.456774654790552]"
"[166, 1.2459754943847656, 57.69920349121094, 1.9605159759521484, 2.504587173461914, 63.410282135009766, 15.770313052240546]"
"[167, 1.2090206146240234, 58.907508850097656, 1.9335746765136719, 2.506732940673828, 64.55683708190918, 15.490226058182007]"
"[168, 1.2462139129638672, 58.32076072692871, 1.9519329071044922, 2.469778060913086, 63.988685607910156, 15.627762791182914]"
"[169, 1.2767314910888672, 63.93289566040039, 1.9307136535644531, 2.499103546142578, 69.63944435119629, 14.359678043336107]"
"[170, 1.4438629150390625, 66.9858455657959, 1.9414424896240234, 2.5053024291992188, 72.8764533996582, 13.721853264674515]"
"[171, 1.2652873992919922, 58.457136154174805, 1.9714832305908203, 2.463817596435547, 64.15772438049316, 15.58658773602084]"
"[172, 1.2042522430419922, 57.37757682800293, 1.9233226776123047, 2.483844757080078, 62.988996505737305, 15.875788716667612]"
"[173, 1.2671947479248047, 59.66782569885254, 1.9245147705078125, 2.513408660888672, 65.37294387817383, 15.296848216955878]"
"[174, 1.1715888977050781, 59.54575538635254, 1.9230842590332031, 2.490520477294922, 65.13094902038574, 15.353683848319234]"
"[175, 1.2466907501220703, 59.403181076049805, 1.941680908203125, 2.466917037963867, 65.05846977233887, 15.370788822721027]"
"[176, 1.917123794555664, 86.5781307220459, 1.9490718841552734, 3.020048141479492, 93.46437454223633, 10.699263809314878]"
"[177, 2.5873184204101562, 83.64510536193848, 2.405405044555664, 2.4917125701904297, 91.12954139709473, 10.973390018967885]"
"[178, 1.399993896484375, 57.581186294555664, 1.9326210021972656, 2.507925033569336, 63.42172622680664, 15.767467388444043]"
"[179, 1.2638568878173828, 55.81259727478027, 1.912832260131836, 2.4945735931396484, 61.48386001586914, 16.264431018838074]"
"[180, 1.2063980102539062, 55.0847053527832, 1.9841194152832031, 2.495288848876953, 60.770511627197266, 16.455349366393346]"
"[181, 1.27410888671875, 57.17182159423828, 2.058267593383789, 2.5103092193603516, 63.01450729370117, 15.869361563665807]"
"[182, 1.1584758758544922, 59.49974060058594, 1.9299983978271484, 2.483844757080078, 65.07205963134766, 15.367578737561004]"
"[183, 1.3415813446044922, 56.05912208557129, 1.9626617431640625, 2.498149871826172, 61.861515045166016, 16.16513917045008]"
"[184, 1.2285709381103516, 56.22601509094238, 1.9381046295166016, 2.496004104614258, 61.888694763183594, 16.158039910624854]"
"[185, 1.2025833129882812, 57.857513427734375, 1.932382583618164, 2.4940967559814453, 63.486576080322266, 15.751361338731119]"
"[186, 1.0190010070800781, 57.94262886047363, 1.9335746765136719, 2.4895668029785156, 63.3847713470459, 15.776660209512704]"
"[187, 1.5625953674316406, 60.04190444946289, 2.0165443420410156, 2.5048255920410156, 66.12586975097656, 15.122674435374542]"
"[188, 1.2335777282714844, 59.697866439819336, 1.9376277923583984, 2.4950504302978516, 65.36412239074707, 15.29891266682959]"
"[189, 1.277923583984375, 58.290958404541016, 1.9373893737792969, 2.501249313354492, 64.00752067565918, 15.623164113280216]"
"[190, 1.2712478637695312, 58.70318412780762, 1.932382583618164, 3.1385421752929688, 65.04535675048828, 15.3738875449014]"
"[191, 1.058816909790039, 61.769962310791016, 1.9299983978271484, 2.4726390838623047, 67.23141670227051, 14.87399863115228]"
"[192, 0.9379386901855469, 59.79418754577637, 1.9364356994628906, 2.4843215942382812, 65.15288352966309, 15.348514844238869]"
"[193, 1.1246204376220703, 59.65137481689453, 1.9507408142089844, 2.5043487548828125, 65.2310848236084, 15.330114510652452]"
"[194, 1.140594482421875, 61.06376647949219, 1.9648075103759766, 2.4945735931396484, 66.66374206542969, 15.000658064146949]"
"[195, 1.1682510375976562, 60.012102127075195, 1.9330978393554688, 2.454996109008789, 65.56844711303711, 15.25123811878668]"
"[196, 1.3427734375, 61.3093376159668, 2.0074844360351562, 2.4819374084472656, 67.14153289794922, 14.893910770847834]"
"[197, 1.0695457458496094, 61.927080154418945, 1.9316673278808594, 2.485513687133789, 67.4138069152832, 14.833756551631453]"
"[198, 1.111745834350586, 60.12463569641113, 1.9369125366210938, 2.4852752685546875, 65.6585693359375, 15.230304438763653]"
"[199, 1.1725425720214844, 60.585737228393555, 1.9197463989257812, 2.5572776794433594, 66.23530387878418, 15.097688716429515]"
"[200, 1.2087821960449219, 60.943603515625, 1.928091049194336, 2.477884292602539, 66.5583610534668, 15.02440841649771]"
"[201, 1.0111331939697266, 59.82542037963867, 1.9369125366210938, 2.4864673614501953, 65.25993347167969, 15.32333771737542]"
"[202, 1.1458396911621094, 57.675838470458984, 1.9297599792480469, 2.5043487548828125, 63.25578689575195, 15.808830291654417]"
"[203, 1.2209415435791016, 56.17356300354004, 1.962423324584961, 2.5072097778320312, 61.86413764953613, 16.164453882232337]"
