frame_idx,t_capture_ms,t_yolo_ms,t_vo_ms,t_gt_ms,t_control_show_ms,t_total_ms,fps
"[149, 0.86212158203125, 1329.4909000396729, 59.569358825683594, 1.8639564514160156, 62.21175193786621, 1394.4287300109863, 0.7171395557750171]"
"[150, 1.2586116790771484, 1274.31321144104, 97.7170467376709, 2.009153366088867, 100.34704208374023, 1377.9280185699463, 0.7257273141436147]"
"[151, 1.0895729064941406, 1339.9267196655273, 119.9643611907959, 1.8677711486816406, 122.589111328125, 1465.4731750488281, 0.6823734593208647]"
"[152, 2.989053726196289, 1333.301067352295, 61.934709548950195, 1.8696784973144531, 64.54253196716309, 1402.7023315429688, 0.712909629871366]"
"[153, 1.0173320770263672, 1323.5173225402832, 109.43841934204102, 1.962900161743164, 112.07246780395508, 1438.5700225830078, 0.6951347409592629]"
"[154, 1.1832714080810547, 1283.419132232666, 60.6684684753418, 1.863718032836914, 63.32039833068848, 1349.7865200042725, 0.7408578950668693]"
"[155, 1.0101795196533203, 1332.9637050628662, 97.24926948547363, 1.9931793212890625, 99.98059272766113, 1435.9476566314697, 0.6964042145838788]"
"[156, 1.0557174682617188, 1325.7133960723877, 60.19091606140137, 1.8765926361083984, 62.67523765563965, 1391.3209438323975, 0.7187414265794757]"
"[157, 1.2545585632324219, 1286.0727310180664, 63.8127326965332, 1.981496810913086, 66.31088256835938, 1355.6196689605713, 0.7376700286200151]"
"[158, 2.2301673889160156, 1197.845220565796, 110.7490062713623, 1.9924640655517578, 113.24071884155273, 1315.3085708618164, 0.7602778710282257]"
"[159, 0.8955001831054688, 1278.5389423370361, 59.78202819824219, 1.8742084503173828, 62.25252151489258, 1343.5611724853516, 0.744290636317047]"
"[160, 0.7970333099365234, 1311.190128326416, 54.979801177978516, 1.8804073333740234, 57.49011039733887, 1371.3576793670654, 0.7292043607919552]"
"[161, 0.8194446563720703, 1299.2191314697266, 56.02669715881348, 1.9030570983886719, 58.707475662231445, 1360.6491088867188, 0.7349433395199139]"
"[162, 0.8323192596435547, 1343.8489437103271, 85.72006225585938, 1.9617080688476562, 88.32788467407227, 1434.9708557128906, 0.6968782648224601]"
"[163, 0.8473396301269531, 1291.8074131011963, 92.78011322021484, 1.962423324584961, 95.2768325805664, 1389.8940086364746, 0.7194793227298162]"
"[164, 1.0917186737060547, 1353.3945083618164, 61.232566833496094, 1.8725395202636719, 63.84873390197754, 1420.2075004577637, 0.7041224607514595]"
"[165, 1.1224746704101562, 1304.3324947357178, 65.1850700378418, 1.8720626831054688, 67.83843040466309, 1375.1654624938965, 0.727185220450836]"
"[166, 1.0724067687988281, 1285.2559089660645, 60.980796813964844, 1.8608570098876953, 63.64083290100098, 1351.830005645752, 0.739737981716357]"
"[167, 0.9520053863525391, 1283.8225364685059, 59.635162353515625, 1.8720626831054688, 62.10970878601074, 1348.7563133239746, 0.7414237769427201]"
"[168, 1.1878013610839844, 1299.1647720336914, 58.98571014404297, 1.8868446350097656, 61.620235443115234, 1363.8596534729004, 0.7332132726806775]"
"[169, 1.0349750518798828, 1244.2941665649414, 57.385921478271484, 1.8913745880126953, 60.03880500793457, 1307.2593212127686, 0.7649591659230103]"
"[170, 1.1126995086669922, 1327.1024227142334, 107.14101791381836, 1.9636154174804688, 109.7712516784668, 1439.9499893188477, 0.6944685630874159]"
"[171, 0.9882450103759766, 1295.7184314727783, 115.2651309967041, 1.9373893737792969, 117.94495582580566, 1416.5890216827393, 0.7059210432198034]"
